payer_name,beneficiary_name,date,purpose,amount_orig_currency,amount_orig,amount_usd,amount_eur,investigation
SOLIDSTAR WORLDWIDE LLP,METASTAR INVEST LLP,2013-03-19,1303195077465289 INVOICE 152/7954-1 DD 10.01.2013,USD,239900,239900,184161.87,az
DELFRONT IMPORT LLP,LCM ALLIANCE LLP,2013-03-19,1303195070772057 INVOICE.No 0201 DD 16.01.2013,USD,280000,280000,214945.08,az
MALAMO CAPITAL LLP,LCM ALLIANCE LLP,2013-03-19,1303195077760213 CNTR 21 DD 21.08.2012,USD,3e+05,300000,230298.3,az
STRAND HANDEL K/S,LCM ALLIANCE LLP,2013-03-19,1303195075912925 PMT BY CNTR 2012/6323 DD 11.03.2013 FOR BUILDING MATERIALS,USD,4e+05,400000,307064.4,az
GFG EXPORT LLP,LCM ALLIANCE LLP,2013-03-19,1303195075604687 OWN PAYMENT,USD,413500,413500,317427.82,az
DELOKALI LIMITED,LCM ALLIANCE LLP,2013-03-19,INVOICE NO 116 DD 07.12.2012 FOR CONSTRUCTION MATERIAL,EUR,497000,647422,497000,az
TOO ASPI,LCM ALLIANCE LLP,2013-03-19,1303195106319009 /RFB/SWF OF 13/03/19PAYMENT FOR GOO DS UNDER CONTRACT NO29A DD 29.01.13,USD,515750,515750,395921.16,az
HUA HE TRADE CO LIMITED RM289 14/F,LCM ALLIANCE LLP,2013-03-19,"1303195104027303 NRA PAYMENT FOR GOODS  /FEE/USD5, /FEE/ USD15,",USD,919980,919980,706232.77,az
MARCOS TRADING LTD.,LCM ALLIANCE LLP,2013-03-19,1303185106344359 PMT CNTR W/N DD 11.03.2013 FOR CONS TRU CTION EQUIPMENT,EUR,964800,1256805,964800,az
TOOLMARK PRODUCTS LLP,LCM ALLIANCE LLP,2013-03-19,1303195074166621 cont FI 15/03 dd 15/03/2013 for equipme nt,USD,1245000,1245000,955737.95,az
"PINGCHUAN TRADE CO., LIMITED ADD:RM",LCM ALLIANCE LLP,2013-03-19,1303195106204121 OSA PAYMENT PAYER IS OFFSHORE CUST REG: HKG PAYMENT FOR GOODS:CONSTRUCTION MATERIAL AND EQUIPMEN T,USD,1526130,1526130,1171550.48,az
LCM ALLIANCE LLP,YAKAMOZ GENERAL TRADING LLC,2013-03-20,1303205026168765 INVOICE.NO 9177 DD 08.03.2013 FOR E QUI PMENT,USD,-1752521,1752521,1345342.02,az
LCM ALLIANCE LLP,YAKAMOZ GENERAL TRADING LLC,2013-03-20,1303205021520961 INVOICE.NO 9179 DD 11.03.2013 FOR E QUI PMENT,USD,-1037533,1037533,796473.62,az
LCM ALLIANCE LLP,BENTCARD IMPORT LLP,2013-03-20,1303205076620597 Invoice 884 dd 28.01.2013,USD,-7e+05,700000,537362.7,az
LCM ALLIANCE LLP,LOTA SALES LLP,2013-03-20,1303205072486785 INVOICE.No 19996 DD 12.03.2013,USD,-5e+05,500000,383830.5,az
LCM ALLIANCE LLP,FABEX GENERAL TRADING L.L.C,2013-03-20,1303205026340725 INVOICE NO 25651 DD 15.03.2013,EUR,-379282,494075,379282,az
LCM ALLIANCE LLP,M.I.T FZE,2013-03-20,1303205027348829 INVOICE NO 12292-CC-364-E DD 15.03. 201 3,EUR,-319200,415809,319200,az
LCM ALLIANCE LLP,FERRITIC METAL GENERAL TRADING LLC.,2013-03-20,1303205022972973 INVOICE NO PAMIO12-011R1 DD 12.12.2 012 FOR CONSTRUCTION MATERIALS,EUR,-274964,358185,274964,az
LCM ALLIANCE LLP,M.I.T FZE,2013-03-20,1303205025354397 INVOICE NO 12292-CC-364-F DD 12.03. 201 3,EUR,-273600,356408,273600,az
LCM ALLIANCE LLP,GFG EXPORT LLP,2013-03-20,OWN PAYMENT,EUR,-255338,332619,255338,az
LCM ALLIANCE LLP,PENNEKAMP,2013-03-20,1303205020368701 INVOICE NO 42011 DD 25.01.2013,EUR,-220500,287237,220500,az
LCM ALLIANCE LLP,KG COMMERCE LLP,2013-03-20,OWN PAYMENT,EUR,-184436,240258,184436,az
LCM ALLIANCE LLP,ALIA MOHAMMED TRADING CO.(L.L.C),2013-03-20,1303205028058861 INVOICE NO 114.16 DD 05.03.2013 FOR CON STRUCTION MATERIALS,EUR,-136220,177449,136220,az
LCM ALLIANCE LLP,KG COMMERCE LLP,2013-03-20,1303205071238681 OWN PAYMENT,USD,-102000,102000,78301.42,az
LCM ALLIANCE LLP,INFOCREST LLP,2013-03-20,1303195076242365 INVOICE.No 0152 DD 13.02.2013,USD,-1e+05,100000,76766.1,az
LCM ALLIANCE LLP,GFG EXPORT LLP,2013-03-20,OWN PAYMENT,EUR,-36826,47972,36826,az
LCM ALLIANCE LLP,OYKA KAGIT AMBALAJ SANAYII VE,2013-03-20,1303195027075309 INVOICE.NO 2013/504 DD 21.02.2013,USD,-32308,32308,24801.59,az
LCM ALLIANCE LLP,"SHANGHAI YIPIN PIGMENTS CO.,LTD",2013-03-20,1303195026675309 YP2013EA031401 DD 14.03.2013,USD,-26125,26125,20055.14,az
LCM ALLIANCE LLP,AAT HOLDING SP. Z O.O.,2013-03-20,1303205026213413 INVOICE NO ZS-EXP-N/2013/59 DD 2013 02- 26 FOR EQUIPMENT,USD,-20602,20602,15815.35,az
LCM ALLIANCE LLP,MAHIR NABIYEV,2013-03-20,1303195025170845 INVOICE.NO 772 DD 13.02.2013,USD,-9950,9950,7638.23,az
LCM ALLIANCE LLP,MAHIR NABIYEV,2013-03-20,1303195024871037 INVOICE.NO 7723 DD 14.03.2013,USD,-9950,9950,7638.23,az
YTO INTERNATIONAL LTD 154 JIANSHE R,LCM ALLIANCE LLP,2013-03-20,"1303205108289997 COMMISSION  /FEE/USD5, /FEE/USD10,",USD,28305,28305,21728.64,az
TOO KAZBLOK,LCM ALLIANCE LLP,2013-03-20,1303205106102825 /RFB/SWF OF 13/03/20PAYMENT FOR GOO DS UNDER CONTRACTNO.04/10-12 DD 04/ 10/12,USD,144980,144980,111295.49,az
SOLIDSTAR WORLDWIDE LLP,METASTAR INVEST LLP,2013-03-20,1303205074430541 INVOICE 152/7954-1 DD 10.01.2013,USD,3e+05,300000,230298.3,az
"KAI CHENG TRADING CO., LIMITED",LCM ALLIANCE LLP,2013-03-20,"1303205104728141 OSA PAYMENT.  /FEE/USD18,00",USD,388214,388214,298016.75,az
LARKSTONE LIMITED,METASTAR INVEST LLP,2013-03-20,INVOICE 02 DD 06.02.2013,EUR,499900,651199,499900,az
"PINGCHUAN TRADE CO., LIMITED ADD:RM",LCM ALLIANCE LLP,2013-03-20,1303205102966049 OSA PAYMENT PAYER IS OFFSHORE CUST REG: HKG PAYMENT FOR GOODS:CONSTRUCTION,USD,554915,554915,425986.6,az
DELOKALI LIMITED,LCM ALLIANCE LLP,2013-03-20,1303205078288893 INVOICE NO 41/6 DD 11.03.2013 FOR CONST RUCTION MATERIAL,USD,1e+06,1000000,767661,az
DELOKALI LIMITED,LCM ALLIANCE LLP,2013-03-20,1303205076282397 INVOICE NO 116 DD 07.12.2012 FOR CONSTR UCTION MATERIAL,USD,1e+06,1000000,767661,az
HUAHE TRADE CO LIMITED,LCM ALLIANCE LLP,2013-03-20,"1303205105360429 NRA PAYMENT FOR GOODSHKG  /FEE/USD5, /F EE/USD15,",USD,1204839,1204839,924907.91,az
HUAHE TRADE CO LIMITED,LCM ALLIANCE LLP,2013-03-20,"1303205106457709 NRA PAYMENT FOR GOODSHKG  /FEE/USD5, /F EE/USD15,",USD,1290841,1290841,990928.29,az
LCM ALLIANCE LLP,INFOCREST LLP,2013-03-21,1303215070695303 INVOICE.No 0125 DD 12.02.2013,USD,-981000,981000,753075.44,az
LCM ALLIANCE LLP,GFG EXPORT LLP,2013-03-21,1303215075622395 OWN PAYMENT,USD,-9e+05,900000,690894.9,az
METASTAR INVEST LLP,BASLEY ASSET CORP,2013-03-21,1303215034549143 inv 9 13 1 03 13 FOR ELECTRO EQUIPMENT,EUR,-342500,446161,342500,az
LCM ALLIANCE LLP,SHANGHAI EUROART DECORATION,2013-03-21,1303215023520791 INVOICE NO 2214 DD 06.03.2013 FOR C ONS TRUCTION MATERIALS,USD,-248912,248912,191080.03,az
LCM ALLIANCE LLP,INFOCREST LLP,2013-03-21,1303215074288103 INVOICE.No 0125 DD 12.02.2013,USD,-153500,153500,117835.96,az
METASTAR INVEST LLP,IMMERGAS EUROPE S.R.O.,2013-03-21,"1303215034625943 INVOICE 143, DATE 20.11.2012 FOR HE AT BOILERS",EUR,-145049.87,188951,145049.87,az
LCM ALLIANCE LLP,KG COMMERCE LLP,2013-03-21,1303215077111391 OWN PAYMENT,USD,-106500,106500,81755.9,az
LCM ALLIANCE LLP,GAZKON ENERJI SISTEMLERI,2013-03-21,1303215023780983 INVOICE NO 32895 DD 22.08.2012 FOR EQUI PMENT,USD,-1e+05,100000,76766.1,az
METASTAR INVEST LLP,F.I.R. FABBRICA ITALIANA RADIATORI,2013-03-21,1303215030137399 INVOICE 7/IC DATE 20.12.2012 FOR AL UMI NIUM RADIATORS,EUR,-69062.4,89965,69062.4,az
LCM ALLIANCE LLP,ASIAN SURYEYING AND MAPPING,2013-03-21,1303215025850539 INVOICE NO 2012SAB-182R DD 15.03.20 13 FOR EQUIPMENT,USD,-41623,41623,31952.35,az
METASTAR INVEST LLP,WELL LEAP COMPANY LTD,2013-03-21,1303215026347483 INVOICE PIZ038 DD 1/26TH/2013,USD,-30000,30000,23029.83,az
LCM ALLIANCE LLP,WUXI LOTUS IMPORT AND EXPORT,2013-03-21,1303215023851963 INVOICE NO 3322 DD 18.03.2013,USD,-30000,30000,23029.83,az
LCM ALLIANCE LLP,"RISHANG OPTOELECTRONICS CO.,LTD",2013-03-21,1303215023978759 INVOICE NO 3613 DD 06.03.2013,USD,-24000,24000,18423.86,az
LCM ALLIANCE LLP,TAIWAN ELECTRIC CONTACTS CORP.,2013-03-21,1303215021557723 INVOICE NO 1503 DD 06.03.2013,USD,-22620,22620,17364.49,az
LCM ALLIANCE LLP,WENZHOU AIJI IMPORT AND EXPORT,2013-03-21,1303215028339559 INVOICE NO 1144 DD 05.03.2013 FOR C ONS TRUCTION MATERIALS,USD,-17000,17000,13050.24,az
LCM ALLIANCE LLP,ZHEJIANG SHENNIU MACHINERY,2013-03-21,1303215023540983 INVOICE NO 31022 DD 15.03.2013 FOR EQUI PMENT,USD,-14970,14970,11491.89,az
LCM ALLIANCE LLP,NINGBO EHOME ELECTRONIC CO LTD,2013-03-21,1303215026229399 INVOICE NO 1501 DD 04.03.2013 FOR C ONS TRUCTION MATERIALS,USD,-14940,14940,11468.86,az
METASTAR INVEST LLP,MARTA MUEHLBAUER,2013-03-21,1303215035051019 MERCEDES 1528 SHASSI N WDB9702771K92153 5,EUR,-14500,18889,14500,az
LCM ALLIANCE LLP,ALFRED DUNHILL LIMITED,2013-03-21,1303215034045903 INVOICE.NO 1390628 DD 12.03.2013,EUR,-10000,13027,10000,az
LCM ALLIANCE LLP,TIANJIN GOLDEN HUGELINE,2013-03-21,1303215024247975 INVOICE NO 3215 DD 14.03.2013 FOR C ONS TRUCTION MATERIALS,USD,-10000,10000,7676.61,az
METASTAR INVEST LLP,GLOBAL CASHMERE SRL,2013-03-21,1303215032057815 PAYMENT FOR TEXTILE INVOICE N 1027 DATA 21.09.12,EUR,-8142.4,10607,8142.4,az
LCM ALLIANCE LLP,ZHEJIANG YOMIN ELECTRIC CO LIMITED,2013-03-21,1303215022333799 INVOICE NO 7425 DD 05.03.2013,USD,-6160,6160,4728.79,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-03-21,1303215074666071 DOGOVOR ZAYMA,USD,-6000,6000,4605.97,az
METASTAR INVEST LLP,CVS HAVALANDIRMA SISTEMLERI,2013-03-21,1303215022231767 INVOICE PR13C001-R3 DATE 20.03.2013 FOR HEAT CONTROL EQUIPMENTS,USD,-5590,5590,4291.22,az
METASTAR INVEST LLP,CARE SURGICALS,2013-03-21,1303215023577967 INVOICE DD 2012.03.19,USD,-5500,5500,4222.14,az
METASTAR INVEST LLP,MILEVICH MOREINAS OLEG FEDOROVICH,2013-03-21,1303215025866383 INVOICE 462 DD 03.03.2013,USD,-5000,5000,3838.31,az
EVERMAIR PROJECTS LP,METASTAR INVEST LLP,2013-03-21,1303215078097463 PAYMENT FOR ELECTRO DEVICE BY CNTR 76 D D 01.03.2013,USD,54916,54916,42156.87,az
LAVYONG INVESTMENTS S. A.,LCM ALLIANCE LLP,2013-03-21,1303215101965751 INV.73800831 SO RU SPARE PARTS AND EQUI PMENT,EUR,130900,170518,130900,az
FIRST IMPORTS/EXPORTS L P,LCM ALLIANCE LLP,2013-03-21,1303205107448765 CONSTRUCTION EQUIPMENT BY INVOICE L2013 /06 DD 22/02/2013,USD,165990,165990,127424.05,az
IDERVELT ALLIANCE LIMITED,LCM ALLIANCE LLP,2013-03-21,"1303205101410009 INVOICE LCM-00045/2013, FOR BUILD. EQUI PMENT AND MATERIALS",EUR,220950,287823,220950,az
EVERMAIR PROJECTS LP,LCM ALLIANCE LLP,2013-03-21,1303215076471391 FOR CONSTRUCTION MATERIAL CNTR.5451 DD 15.03.2013,USD,250000,250000,191915.25,az
MALAMO CAPITAL LLP,LCM ALLIANCE LLP,2013-03-21,1303215073466915 CNTR 21 DD 21.08.2012,USD,350000,350000,268681.35,az
ZIWU TRADING CO LIMITED,LCM ALLIANCE LLP,2013-03-21,"1303215106542631 NRA PAYMENT FOR GOODSHKG  /FEE/USD5, /F EE/USD15,",USD,378910,378910,290874.43,az
PALGRAVE LIMITED,LCM ALLIANCE LLP,2013-03-21,"1303205106194581 CONSTRUCTION MATERIAL (ARMATURE), CONTR 74 DD 12.03.13",EUR,766815,998898,766815,az
TOOLMARK PRODUCTS LLP,LCM ALLIANCE LLP,2013-03-21,1303215073788119 cont FI 20/03 dd 20/03/2013 for equipme nt,USD,999000,999000,766893.34,az
LCM ALLIANCE LLP,SMART TEAM GENERAL TRADING LLC,2013-03-22,1303225026554161 CONTRACT.NO 651/12 DD 04.02.2013 FO R E QUIPMENT,USD,-741169,741169,568966.54,az
LCM ALLIANCE LLP,KG COMMERCE LLP,2013-03-22,1303225071553153 OWN PAYMENT,USD,-91100,91100,69933.92,az
LCM ALLIANCE LLP,KG COMMERCE LLP,2013-03-22,1303225075827029 OWN PAYMENT,USD,-83500,83500,64099.69,az
LCM ALLIANCE LLP,BRIGHT EDELSTEIN GEMS,2013-03-22,1303225026411365 INVOICE.NO 8834 DD 21.03.2013,USD,-67864,67864,52096.55,az
LCM ALLIANCE LLP,LOTA SALES LLP,2013-03-22,1303225073331557 INVOICE.No 19969 DD 17.12.2012,USD,-50000,50000,38383.05,az
LCM ALLIANCE LLP,"HUA ZUN CHEMICAL CO., LIMITED",2013-03-22,1303225028318097 INVOICE NO HZ/CQ 011 DD 30.01.2013,EUR,-44378,57810,44378,az
LCM ALLIANCE LLP,"QIDI ELECTRIC GROUP CO.,LTD",2013-03-22,1303225026731105 INVOICE NO 11QD0292H-1 DD 15.03.201 3 F OR EQUIPMENT,USD,-27977,27977,21476.85,az
LCM ALLIANCE LLP,CHINA-KYLE INTERNATIONAL TRADING,2013-03-22,1303225022822497 INVOICE NO 5508 DD 28.02.2013 FOR C ONS TRUCTION MATERIALS,USD,-20000,20000,15353.22,az
METASTAR INVEST LLP,SUNTRONIC INTL INDUSTRY LTD,2013-03-22,"1303225023452633 INVOICE 12120822 DD DEC.14,2012",USD,-15000,15000,11514.92,az
LCM ALLIANCE LLP,INDUSTRIAS MECANICAS LAGO S.A.U.,2013-03-22,1303225034696801 INVOICE NO 23041 DD 28.02.2013,EUR,-12000,15632,12000,az
LCM ALLIANCE LLP,"BESTWELD GROUP CO., LIMITED",2013-03-22,1303225025613889 INVOICE NO 4208 DD 13.03.2013,USD,-5961,5961,4576.03,az
METASTAR INVEST LLP,"TAIAN WECAN MACHINERY CO., LTD.",2013-03-22,"1303225024787661 INVOICE WM13-ZYS003 DATE MAR. 22, 2 013",USD,-5082,5082,3901.25,az
LCM ALLIANCE LLP,LA RIVE S.A,2013-03-22,1303225036352089 INVOICE.NO 8975 DD 12.02.2013,EUR,-3326,4333,3326,az
METASTAR INVEST LLP,DEIJL CARGO,2013-03-22,1303225020482989 INVOICE 0102 DD 25.02.2013,USD,-2287,2287,1755.64,az
ZARYNYR HOLDING LTD,METASTAR INVEST LLP,2013-03-22,1303215104399267 FOR CONSTRUCTION EQUIPMENT UNDER I NVOI CE NO 19-03/13,USD,17340,17340,13311.24,az
LARKSTONE LIMITED,METASTAR INVEST LLP,2013-03-22,INVOICE 03 DD 06.02.2013,EUR,225688,293995,225688,az
EVERMAIR PROJECTS LP,METASTAR INVEST LLP,2013-03-22,1303225076067765 PAYMENT FOR ELECTRO DEVICE BY CNTR 76 D D 01.03.2013,USD,314925,314925,241755.64,az
HUA HE TRADE CO LIMITED RM289 14/F,LCM ALLIANCE LLP,2013-03-22,"1303225102508373 NRA PAYMENT FOR GOODS  /FEE/USD5, /FEE/ USD15,",USD,337178,337178,258838.4,az
WESTBURN ENTERPRISES LIMITED,LCM ALLIANCE LLP,2013-03-23,1303225102439445 PMNT FOR INVOICE LCM-071/13 DD 21.0 2.2 013 FOR BUILDING EQUIPMENT,EUR,103250,134500,103250,az
WESTBURN ENTERPRISES LIMITED,LCM ALLIANCE LLP,2013-03-23,1303225101342421 PMNT FOR INVOICE LCM-068/13 DD 17.0 2.2 013 FOR BUILDING EQUIPMENT,EUR,4e+05,521064,4e+05,az
LCM ALLIANCE LLP,KG COMMERCE LLP,2013-03-25,1303255077379025 OWN PAYMENT,RUB,-4e+06,130384,100090.17,az
LCM ALLIANCE LLP,SMART TEAM GENERAL TRADING LLC,2013-03-25,1303255026442793 CONTRACT.NO 651/12 DD 04.02.2013 FO R E QUIPMENT,USD,-674062,674062,517451.11,az
LCM ALLIANCE LLP,"MECKEY SHIPPING CO., LIMITED",2013-03-25,1303255027596091 INVOICE NO 4775 DD 25.03.2013 FOR E QUI PMENT,EUR,-594379,774273,594379,az
LCM ALLIANCE LLP,SMART TEAM GENERAL TRADING LLC,2013-03-25,1303255025405577 CONTRACT.NO 605/12 DD 03.12.2012.IN VOI CE.NO 7990 DD 18.03.2013 FOR EQU IPMENT,USD,-577539,577539,443354.17,az
LCM ALLIANCE LLP,HONG KONG YAHAO LIMITED,2013-03-25,1303255020620055 CONTRACT.NO 1950 DD 01.08.2012 FOR EQUI PMENT,USD,-3e+05,300000,230298.3,az
LCM ALLIANCE LLP,"QIN YI TRADING CO.,LIMITED",2013-03-25,1303255024131703 INVOICE.NO 7783 DD 18.03.2013,USD,-250000,250000,191915.25,az
LCM ALLIANCE LLP,GFG EXPORT LLP,2013-03-25,1303255077377977 OWN PAYMENT,USD,-220500,220500,169269.25,az
LCM ALLIANCE LLP,LOTA SALES LLP,2013-03-25,1303255074675807 INVOICE.No 19996 DD 12.03.2013,USD,-214105,214105,164360.06,az
LCM ALLIANCE LLP,INFOCREST LLP,2013-03-25,1303255072570267 INVOICE.No 01295 DD 14.02.2013,USD,-190000,190000,145855.59,az
METASTAR INVEST LLP,BOYEV GAYRIMENKUL KIM.SAN.+TIC.A.S,2013-03-25,1303255022934331 INVOICE 09410 DD 09.02.2013,USD,-166690,166690,127961.41,az
METASTAR INVEST LLP,LOTA SALES LLP,2013-03-25,1303255076901809 DOGOVOR ZAYMA,USD,-165000,165000,126664.07,az
LCM ALLIANCE LLP,"FUYUAN EAST TRADING CO., LIMITED",2013-03-25,1303255027942215 CONTRACT.NO 45098 DD 01.10.2012 FOR EQU IPMENT,USD,-160800,160800,123439.89,az
LCM ALLIANCE LLP,INFOCREST LLP,2013-03-25,1303255074682731 INVOICE.No 0125 DD 12.02.2013,USD,-133000,133000,102098.91,az
LCM ALLIANCE LLP,SYSTEM S.P.A,2013-03-25,1303245033845185 INVOICE NO 1091/12/A/0 DD 2012/11/0 8 F OR EQUIPMENT,EUR,-103000,134174,103000,az
METASTAR INVEST LLP,GREENOUGH TRADE LLP,2013-03-25,1303255077967089 for EQUIPMENT,USD,-1e+05,100000,76766.1,az
LCM ALLIANCE LLP,EHM CHRONOTIME24 GMBH,2013-03-25,1303255034076467 INVOICE.No 0616 DD 05.03.2013,EUR,-85000,110726,85000,az
LCM ALLIANCE LLP,GFG EXPORT LLP,2013-03-25,OWN PAYMENT,EUR,-37606.5,48989,37606.5,az
LCM ALLIANCE LLP,"ZHUHAI STARWIN PIPE CO.,LTD",2013-03-25,1303255023388321 INVOICE NO 6347 DD 28.02.2013 FOR C ONS TRUCTION MATERIALS,USD,-33000,33000,25332.81,az
METASTAR INVEST LLP,SABA CARS Germany GmbH,2013-03-25,1303255033910289 Rest G63 AMG - Schwarz/ Rot,EUR,-24000,31264,24000,az
LCM ALLIANCE LLP,JABARZADA GUNAY,2013-03-25,1303255028345995 FINANSOVAYA POMOSH,GBP,-1500,2256,1731.28,az
LCM ALLIANCE LLP,DELTAPAK SIZDIRMAZLIK ELEMANLARI,2013-03-25,1303255026082561 INVOICE NO 13318 DD 18.03.2013,EUR,-276,360,276,az
LOTA SALES LLP,LCM ALLIANCE LLP,2013-03-25,INVOICE No 02/4538 DD 05.12.12,EUR,74000,96397,74000,az
DELFRONT IMPORT LLP,LCM ALLIANCE LLP,2013-03-25,1303255071724415 INVOICE.No 0201 DD 16.01.2013,USD,5e+05,500000,383830.5,az
CLAMOSA LIMITED,LCM ALLIANCE LLP,2013-03-25,1303255105460803 PAYMENT ACCORDING CONTRACT NO LCM .CL 0 2/13 DATE 12.02.2013 FOR THE EQUIPMENT,USD,518200,518200,397801.93,az
HUAHE TRADE CO LIMIED,LCM ALLIANCE LLP,2013-03-25,"1303255106234897 NRA PAYMENT FOR GOODS XIAN HUI  /FEE/US D5, /FEE/USD15,",USD,861557,861557,661383.71,az
"PINGCHUAN TRADE CO., LIMITED ADD:RM",LCM ALLIANCE LLP,2013-03-25,1303255104964861 OSA PAYMENT PAYER IS OFFSHORE CUST REG: HKG PAYMENT FOR GOODS:JEWELRY BNY CUST RRN - FTS13032476 46600,USD,1682959,1682959,1291941.99,az
LCM ALLIANCE LLP,YAKAMOZ GENERAL TRADING LLC,2013-03-26,1303265024823895 INVOICE.NO 9196 DD 11.03.2013 FOR E QUI PMENT,USD,-1453000,1453000,1115411.43,az
LCM ALLIANCE LLP,SMART TEAM GENERAL TRADING LLC,2013-03-26,1303265026304173 CONTRACT.NO 605/12 DD 03.12.2012.IN VOI CE.NO 7997 DD 19.03.2013 FOR EQU IPMENT,USD,-787599,787599,604609.04,az
LCM ALLIANCE LLP,GFG EXPORT LLP,2013-03-26,OWN PAYMENT,EUR,-615751,802114,615751,az
LCM ALLIANCE LLP,KNAUF PJSCO,2013-03-26,1303265023113465 INVOICE NO 3254 DD 26.03.2013 FOR C ONS TRUCTION MATERIALS,EUR,-5e+05,651330,5e+05,az
LCM ALLIANCE LLP,COMVIVA TECHNOLOGIES FZ-LLC,2013-03-26,1303265024726639 INVOICE NO 06114 DD 26.03.2013,EUR,-385749,502500,385749,az
LCM ALLIANCE LLP,HONG KONG GREE ELECTRIC APPLIANCES,2013-03-26,1303265025024815 INVOICE.NO 5408012126 DD 25.03.2013,USD,-95115.6,95116,73016.54,az
LCM ALLIANCE LLP,PANASONIC GULF FZE,2013-03-26,1303265025927791 INVOICE.NO PI153 DD 14.03.2013,USD,-89826.5,89827,68956.3,az
METASTAR INVEST LLP,CAGDAS ELEKTRONIK MEDIKAL SISTEMLER,2013-03-26,1303265027444209 INVOICE N 100010811 DD 08.11.2012,USD,-89455,89455,68671.11,az
METASTAR INVEST LLP,SEL DIS TICARET VE KIMYA SANAYI,2013-03-26,1303265027750049 INVOICE 833 DD 22.07.2012 FOR PAINT S,EUR,-30091.96,39200,30091.96,az
METASTAR INVEST LLP,ATR KIMYA ITHALAT IHRACAT TICARET,2013-03-26,1303265025736729 INVOICE N 049 DD 08/03/2013,EUR,-28200,36735,28200,az
LCM ALLIANCE LLP,SOVER DEVELOPMENT LLP,2013-03-26,1303265076397025 INVOICE.No 69 DD 23.08.2012,USD,-25000,25000,19191.53,az
METASTAR INVEST LLP,SHENGHUA GROUP DEQING HUAYUAN,2013-03-26,"1303265023542425 INVOICE 13031102 DD MAR.11,2013",USD,-13350,13350,10248.27,az
METASTAR INVEST LLP,TRICON DRY CHEMICALS LLC,2013-03-26,1303265035309713 INVOICE 020 DD 15.03.2013,EUR,-7276.5,9479,7276.5,az
METASTAR INVEST LLP,"RECK TECHNIK GMBH & CO.,KG",2013-03-26,"1303265034441527 INVOICE E7132 70445 DD 19,MARCH 2013",EUR,-1534.64,2000,1534.64,az
YTO INTERNATIONAL LTD 154 JIANSHE R,LCM ALLIANCE LLP,2013-03-26,"1303255106235355 COMMISSION  /FEE/USD5, /FEE/USD10,",USD,17165,17165,13176.9,az
SOVER DEVELOPMENT LLP,LCM ALLIANCE LLP,2013-03-26,1303265076282825 PAYMENT UNDER CONTRACT N C-12004 DD ON 13.08.12 FOR CONSTRUCTION MATERIALS,USD,25000,25000,19191.53,az
IDERVELT ALLIANCE LIMITED,LCM ALLIANCE LLP,2013-03-26,"1303255103549671 INVOICE LCM-00048/2013, FOR BUILD. EQUI PMENT AND MATERIALS",EUR,117954,153654,117954,az
DOCKWOOD ALLIANCE LLP,LCM ALLIANCE LLP,2013-03-26,"1303265074269765 FOR CONSTRUCTION MATERIAL AND EQUIPMENT , INV 0020 DD 21.03.2013",USD,150560,150560,115579.04,az
KG COMMERCE LLP,LCM ALLIANCE LLP,2013-03-26,1303265075845841 OWN PAYMENT,USD,206000,206000,158138.17,az
DEUTDEFFXXX,LCM ALLIANCE LLP,2013-03-26,"1303255103061595 RTN 1303205022972973/620/ EURO274,964.0 0 AS BBK R //ETURN ASINTERNAL POLICY REASONLES //S BBK C HARGES",EUR,274862,358052,274862,az
LARKSTONE LIMITED,METASTAR INVEST LLP,2013-03-26,1303265075067623 INVOICE 03 DD 06.02.2013,USD,490000,490000,376153.89,az
DELFRONT IMPORT LLP,LCM ALLIANCE LLP,2013-03-26,1303265075454761 INVOICE.No 0201 DD 16.01.2013,USD,5e+05,500000,383830.5,az
DELFRONT IMPORT LLP,LCM ALLIANCE LLP,2013-03-26,1303265076955085 INVOICE.No 0201 DD 16.01.2013,USD,5e+05,500000,383830.5,az
HUAMENG TRADE CO LIMITED,LCM ALLIANCE LLP,2013-03-26,"1303265103959171 NRA PAYMENT FOR GOODS XIAN HUI  /FEE/US D5, /FEE/USD15,",USD,2031912,2031912,1559819.6,az
LCM ALLIANCE LLP,INN7714078157,2013-03-27,1303275027501809 (VO10100) CONTRACT.NO 14090 DD 14.0 1.2 013.INVOICE.NO SP-20/2.13 DD 21. 02.2012 BEZ NDS,RUB,-3628800,118284,90801.8,az
LCM ALLIANCE LLP,INN7830001596,2013-03-27,1303275027084657 (VO10100) CONTRACT.NO 15/AZ-9 DD 01 .02 .2012. INVOICE.NO 002380 DD 21.0 3.2013 BEZ NDS,RUB,-2836960.5,92474,70987.96,az
LCM ALLIANCE LLP,INFOCREST LLP,2013-03-27,1303275075607313 INVOICE.No 0009 DD 14.02.2013,RUB,-2105400,68628,52682.46,az
LCM ALLIANCE LLP,INFOCREST LLP,2013-03-27,1303275072487001 INVOICE.No 0125 DD 12.02.2013,USD,-1114500,1114500,855558.18,az
LCM ALLIANCE LLP,GFG EXPORT LLP,2013-03-27,1303275076700657 OWN PAYMENT,USD,-700300,700300,537593,az
LCM ALLIANCE LLP,VESTEL DIS TICARET A.S.,2013-03-27,1303275023804089 INVOICE NO 5116 DD 27.03.2013 FOR E QUI PMENT,EUR,-603875,786643,603875,az
LCM ALLIANCE LLP,GTW EXPORT LLP,2013-03-27,1303275077049357 INVOICE.No 889 DD 13.02.2013,USD,-5e+05,500000,383830.5,az
